s2s_id,s2s_route,c2c_route,distance
0,texas - texas,humble - laredo,362
0,texas - texas,laredo - coppell,444
0,texas - texas,laredo - hutchins,422
0,texas - texas,laredo - fort worth,434
0,texas - texas,laredo - san antonio,151
0,texas - texas,laredo - laredo,15
0,texas - texas,fort worth - laredo,421
0,texas - texas,laredo - katy,319
0,texas - texas,san antonio - laredo,156
0,texas - texas,houston - laredo,345
0,texas - texas,laredo - houston,350
0,texas - texas,laredo - wilmer,425
0,texas - texas,laredo - dallas,421
0,texas - texas,laredo - grand prairie,432
0,texas - texas,laredo - pharr,156
0,texas - texas,laredo - shiner,237
0,texas - texas,irving - houston,249
0,texas - texas,midland - laredo,518
0,texas - texas,laredo - roanoke,438
0,texas - texas,pleasanton - conroe,255
0,texas - texas,laredo - lancaster,415
0,texas - texas,laredo - waco,326
0,texas - texas,laredo - mesquite,431
0,texas - texas,laredo - brownwood,335
0,texas - texas,laredo - ennis,414
0,texas - texas,laredo - la porte,374
0,texas - texas,dumas - laredo,668
0,texas - texas,el paso - houston,748
0,texas - texas,laredo - jersey village,340
0,texas - texas,new caney - laredo,371
0,texas - texas,laredo - rosharon,320
0,texas - texas,laredo - frankston,453
0,texas - texas,amarillo - laredo,627
0,texas - texas,el paso - laredo,639
0,texas - texas,laredo - el paso,617
0,texas - texas,san antonio - new braunfels,36
0,texas - texas,horizon city - el paso,21
0,texas - texas,fort worth - pasadena,276
0,texas - texas,houston - houston,26
0,texas - texas,laredo - irving,424
0,texas - texas,laredo - texarkana,602
0,texas - texas,laredo - granbury,408
0,texas - texas,angleton - laredo,295
0,texas - texas,laredo - conroe,380
0,texas - texas,laredo - spring,344
0,texas - texas,laredo - addison,438
0,texas - texas,laredo - balch springs,421
0,texas - texas,laredo - beaumont,422
0,texas - texas,addison - laredo,438
0,texas - texas,el paso - el paso,14
0,texas - texas,laredo - temple,471
0,texas - texas,houston - lancaster,233
0,texas - texas,laredo - lubbock,573
0,texas - texas,coppell - temple,148
0,texas - texas,laredo - carrollton,443
0,texas - texas,laredo - pasadena,335
0,texas - texas,coppell - houston,261
0,texas - texas,laredo - new braunfels,187
0,texas - texas,laredo - pearland,364
0,texas - texas,laredo - farmers branch,440
0,texas - texas,laredo - sherman,482
0,texas - texas,laredo - corsicana,389
0,texas - texas,laredo - humble,351
0,texas - texas,laredo - frisco,462
0,texas - texas,texarkana - laredo,602
0,texas - texas,lolita - laredo,264
0,texas - texas,pasadena - laredo,456
0,texas - texas,laredo - rockwall,448
0,texas - texas,laredo - sanger,463
0,texas - texas,creedmoor - laredo,227
0,texas - texas,el paso - horizon city,24
0,texas - texas,laredo - garland,447
0,texas - texas,dallas - terrell,40
0,texas - texas,laredo - terrell,437
0,texas - texas,austin - san antonio,80
0,texas - texas,farmers branch - terrell,36
0,texas - texas,laredo - austin,396
0,texas - texas,el paso - hutchins,635
0,texas - texas,laredo - corpus christi,145
0,texas - texas,laredo - weslaco,184
0,texas - texas,laredo - hurst,439
0,texas - texas,el paso - canyon,398
0,texas - texas,laredo - longview,511
0,texas - texas,coppell - arlington,22
0,texas - texas,laredo - grapevine,438
0,texas - texas,arlington - laredo,437
0,texas - texas,coppell - fort worth,35
0,texas - texas,coppell - lubbock,342
0,texas - texas,laredo - arlington,432
0,texas - texas,austin - laredo,243
0,texas - texas,hutchins - san antonio,264
0,texas - texas,ranchos penitas west - laredo,16
0,texas - texas,coppell - el paso,620
0,texas - texas,coppell - rockwall,44
0,texas - texas,coppell - austin,221
0,texas - texas,coppell - garland,28
0,texas - texas,hutchins - austin,199
0,texas - texas,kyle - spring,170
0,texas - texas,laredo - gonzales,220
0,texas - texas,laredo - dayton,942
0,texas - texas,laredo - denton,458
0,texas - texas,laredo - elgin,262
0,texas - texas,el paso - cedar hill,635
0,texas - texas,dallas - laredo,1266
0,texas - texas,coppell - coppell,84
0,texas - texas,manvel - laredo,347
0,texas - texas,laredo - bedford,435
0,texas - texas,el paso - fort worth,598
0,texas - texas,el paso - mesquite,639
0,texas - texas,el paso - dallas,631
0,texas - texas,mission - laredo,155
0,texas - texas,waco - laredo,320
0,texas - texas,la porte - laredo,356
0,texas - texas,laredo - waller,346
0,texas - texas,channelview - laredo,356
0,texas - texas,laredo - flatonia,236
0,texas - texas,laredo - mission,153
0,texas - texas,fort worth - fort worth,9
0,texas - texas,laredo - waxahachie,386
1,hidalgo - tamaulipas,atitalaquia - nuevo laredo,665
1,hidalgo - tamaulipas,pachuca - nuevo laredo,705
1,hidalgo - tamaulipas,villa de tezontepec - nuevo laredo,701
1,hidalgo - tamaulipas,tezontepec - nuevo laredo,704
1,hidalgo - tamaulipas,tula - nuevo laredo,661
1,hidalgo - tamaulipas,tizayuca - nuevo laredo,1070
1,hidalgo - tamaulipas,sahagun city - nuevo laredo,712
1,hidalgo - tamaulipas,ciudad sahagun - nuevo laredo,712
2,estado de mexico - tamaulipas,lerma de villada - nuevo laredo,702
2,estado de mexico - tamaulipas,cuautitlan - nuevo laredo,683
2,estado de mexico - tamaulipas,cuautitlan de romero rubio - nuevo laredo,671
2,estado de mexico - tamaulipas,ecatepec de morelos - nuevo laredo,687
2,estado de mexico - tamaulipas,tlalnepantla de baz - nuevo laredo,683
2,estado de mexico - tamaulipas,toluca de lerdo - nuevo laredo,695
2,estado de mexico - tamaulipas,santiago teyahualco - nuevo laredo,677
2,estado de mexico - tamaulipas,cuautitlan izcalli - nuevo laredo,670
2,estado de mexico - tamaulipas,ciudad de mexico - nuevo laredo,688
2,estado de mexico - tamaulipas,tultitlan de mariano escobedo - nuevo laredo,679
2,estado de mexico - tamaulipas,cuautitlan - ldo,674
2,estado de mexico - tamaulipas,ocoyoacac - nuevo laredo,693
2,estado de mexico - tamaulipas,buenavista - nuevo laredo,676
2,estado de mexico - tamaulipas,mexico - nuevo laredo,700
2,estado de mexico - tamaulipas,tepotzotlan - nuevo laredo,667
3,baja california - california,mexicali - pico rivera,253
3,baja california - california,mexicali - city of industry,222
3,baja california - california,mexicali - fresno,451
3,baja california - california,mexicali - west sacramento,925
3,baja california - california,mexicali - hayward,603
3,baja california - california,mexicali - ontario,200
3,baja california - california,mexicali - calexico,14
3,baja california - california,mexicali - commerce,239
3,baja california - california,mexicali - san bernardino,191
3,baja california - california,mexicali - tracy,563
3,baja california - california,mexicali - los angeles,241
3,baja california - california,mexicali - lakeport,748
3,baja california - california,mexicali - santa fe springs,235
3,baja california - california,mexicali - apple valley,233
3,baja california - california,tijuana - rancho cordova,539
3,baja california - california,tijuana - montebello,136
3,baja california - california,mexicali - merced,511
3,baja california - california,tijuana - los angeles,145
3,baja california - california,tijuana - city of industry,137
3,baja california - california,mexicali - lancaster,265
3,baja california - california,mexicali - riverside,181
3,baja california - california,mexicali - jurupa valley,196
3,baja california - california,mexicali - sacramento,620
3,baja california - california,tijuana - corona,122
3,baja california - california,mexicali - long beach,247
4,tamaulipas - texas,nuevo laredo - laredo,14
4,tamaulipas - texas,nuevo laredo - fort worth,443
4,tamaulipas - texas,nuevo laredo - san antonio,165
4,tamaulipas - texas,nuevo laredo - farmers branch,461
4,tamaulipas - texas,nuevo laredo - granbury,410
4,tamaulipas - texas,nuevo progreso - humble,349
4,tamaulipas - texas,nuevo laredo - frankston,470
4,tamaulipas - texas,nuevo laredo - dallas,441
4,tamaulipas - texas,nuevo laredo - pasadena,354
4,tamaulipas - texas,ldo - laredo,29
4,tamaulipas - texas,la cruz - laredo,9
4,tamaulipas - texas,nuevo laredo - missouri city,358
4,tamaulipas - texas,nuevo laredo - round rock,261
