s2s_id,s2s_route,c2c_route,distance
0,nuevo leon - ohio,san nicolas de los garza - beckett ridge,1577
0,nuevo leon - ohio,guadalupe - grove city,1755
0,nuevo leon - ohio,guadalupe - cincinnati,1515
0,nuevo leon - ohio,guadalupe - warren,1836
0,nuevo leon - ohio,guadalupe - columbus,1765
0,nuevo leon - ohio,parque industrial ciudad mitras - sidney,1611
0,nuevo leon - ohio,guadalupe - sharonville,1522
0,nuevo leon - ohio,guadalupe - zanesville,1735
1,texas - jalisco,laredo - zapopan,654
1,texas - jalisco,laredo - guadalajara,646
1,texas - jalisco,laredo - la venta del astillero,656
1,texas - jalisco,laredo - santa cruz del valle,656
1,texas - jalisco,laredo - san martin de zula,653
2,tamaulipas - texas,nuevo laredo - laredo,14
2,tamaulipas - texas,nuevo laredo - pasadena,354
2,tamaulipas - texas,nuevo laredo - farmers branch,461
2,tamaulipas - texas,nuevo laredo - dallas,441
2,tamaulipas - texas,ldo - laredo,29
2,tamaulipas - texas,nuevo laredo - san antonio,165
2,tamaulipas - texas,la cruz - laredo,9
2,tamaulipas - texas,nuevo laredo - missouri city,358
2,tamaulipas - texas,nuevo laredo - round rock,261
2,tamaulipas - texas,nuevo laredo - houston,358
2,tamaulipas - texas,nuevo laredo - fort worth,443
2,tamaulipas - texas,nuevo laredo - granbury,410
2,tamaulipas - texas,nuevo laredo - wichita falls,559
2,tamaulipas - texas,nuevo laredo - denton,464
2,tamaulipas - texas,nuevo laredo - waller,352
2,tamaulipas - texas,nuevo progreso - humble,349
2,tamaulipas - texas,nuevo laredo - lancaster,426
2,tamaulipas - texas,nuevo laredo - frankston,470
2,tamaulipas - texas,nuevo laredo - commerce,500
3,nuevo leon - texas,cienega de flores - laredo,143
3,nuevo leon - texas,garcia - houston,582
3,nuevo leon - texas,garcia - laredo,161
3,nuevo leon - texas,ciudad apodaca - laredo,162
3,nuevo leon - texas,ciudad general escobedo - laredo,148
3,nuevo leon - texas,san nicolas de los garza - el paso,828
3,nuevo leon - texas,san nicolas de los garza - laredo,157
3,nuevo leon - texas,guadalupe - laredo,162
3,nuevo leon - texas,ciudad apodaca - san antonio,303
3,nuevo leon - texas,ciudad apodaca - waller,484
3,nuevo leon - texas,ciudad general escobedo - big lake,569
3,nuevo leon - texas,ciudad apodaca - wichita falls,689
3,nuevo leon - texas,ciudad de allende - laredo,197
3,nuevo leon - texas,san nicolas de los garza - katy,457
3,nuevo leon - texas,ciudad apodaca - dallas,574
3,nuevo leon - texas,ciudad apodaca - houston,483
3,nuevo leon - texas,colombia - laredo,27
3,nuevo leon - texas,ciudad apodaca - fort worth,566
3,nuevo leon - texas,monterrey - laredo,151
3,nuevo leon - texas,san nicolas de los garza - carrollton,590
3,nuevo leon - texas,san nicolas de los garza - coppell,584
3,nuevo leon - texas,san nicolas de los garza - dallas,568
3,nuevo leon - texas,el carmen - dallas,570
3,nuevo leon - texas,santa catarina - laredo,173
3,nuevo leon - texas,ciudad general escobedo - houston,493
3,nuevo leon - texas,el carmen - san antonio,304
3,nuevo leon - texas,ciudad apodaca - sealy,439
3,nuevo leon - texas,san nicolas de los garza - houston,510
3,nuevo leon - texas,ciudad apodaca - missouri city,486
3,nuevo leon - texas,salinas victoria - missouri city,476
3,nuevo leon - texas,guadalupe - ennis,571
3,nuevo leon - texas,el carmen - houston,500
3,nuevo leon - texas,san nicolas de los garza - frankston,741
3,nuevo leon - texas,san nicolas de los garza - farmers branch,614
3,nuevo leon - texas,ciudad apodaca - carrollton,582
3,nuevo leon - texas,garcia - humble,512
3,nuevo leon - texas,san nicolas de los garza - conroe,544
3,nuevo leon - texas,cienega de flores - houston,472
3,nuevo leon - texas,garcia - granbury,626
3,nuevo leon - texas,san nicolas de los garza - fort worth,669
3,nuevo leon - texas,guadalupe - houston,490
3,nuevo leon - texas,ciudad apodaca - denton,641
3,nuevo leon - texas,ciudad apodaca - schertz,314
3,nuevo leon - texas,ciudad apodaca - graham,608
3,nuevo leon - texas,ciudad apodaca - san marcos,338
3,nuevo leon - texas,ciudad apodaca - austin,378
3,nuevo leon - texas,ciudad general escobedo - eldorado,507
