s2s_id,s2s_route,lr_models,svr_models,rnn_models,scaler_X,scaler_y,new_models
0,nuevo leon - ohio,lr_model_0.pkl,svr_model_0.pkl,rnn_model_0.h5,scaler_X_0.pkl,scaler_y_0.pkl,new_model_0.pkl
1,texas - jalisco,lr_model_1.pkl,svr_model_1.pkl,rnn_model_1.h5,scaler_X_1.pkl,scaler_y_1.pkl,new_model_1.pkl
2,tamaulipas - texas,lr_model_2.pkl,svr_model_2.pkl,rnn_model_2.h5,scaler_X_2.pkl,scaler_y_2.pkl,new_model_2.pkl
3,nuevo leon - texas,lr_model_3.pkl,svr_model_3.pkl,rnn_model_3.h5,scaler_X_3.pkl,scaler_y_3.pkl,new_model_3.pkl
4,queretaro - tamaulipas,lr_model_4.pkl,svr_model_4.pkl,rnn_model_4.h5,scaler_X_4.pkl,scaler_y_4.pkl,new_model_4.pkl
5,texas - tennessee,lr_model_5.pkl,svr_model_5.pkl,rnn_model_5.h5,scaler_X_5.pkl,scaler_y_5.pkl,new_model_5.pkl
6,vermont - coahuila de zaragoza,lr_model_6.pkl,svr_model_6.pkl,rnn_model_6.h5,scaler_X_6.pkl,scaler_y_6.pkl,new_model_6.pkl
7,guanajuato - texas,lr_model_7.pkl,svr_model_7.pkl,rnn_model_7.h5,scaler_X_7.pkl,scaler_y_7.pkl,new_model_7.pkl
8,aguascalientes - texas,lr_model_8.pkl,svr_model_8.pkl,rnn_model_8.h5,scaler_X_8.pkl,scaler_y_8.pkl,new_model_8.pkl
9,hidalgo - texas,lr_model_9.pkl,svr_model_9.pkl,rnn_model_9.h5,scaler_X_9.pkl,scaler_y_9.pkl,new_model_9.pkl
10,estado de mexico - baja california,lr_model_10.pkl,svr_model_10.pkl,rnn_model_10.h5,scaler_X_10.pkl,scaler_y_10.pkl,new_model_10.pkl
11,aguascalientes - tamaulipas,lr_model_11.pkl,svr_model_11.pkl,rnn_model_11.h5,scaler_X_11.pkl,scaler_y_11.pkl,new_model_11.pkl
12,texas - texas,lr_model_12.pkl,svr_model_12.pkl,rnn_model_12.h5,scaler_X_12.pkl,scaler_y_12.pkl,new_model_12.pkl
13,wisconsin - aguascalientes,lr_model_13.pkl,svr_model_13.pkl,rnn_model_13.h5,scaler_X_13.pkl,scaler_y_13.pkl,new_model_13.pkl
14,coahuila de zaragoza - estado de mexico,lr_model_14.pkl,svr_model_14.pkl,rnn_model_14.h5,scaler_X_14.pkl,scaler_y_14.pkl,new_model_14.pkl
15,nuevo leon - massachusetts,lr_model_15.pkl,svr_model_15.pkl,rnn_model_15.h5,scaler_X_15.pkl,scaler_y_15.pkl,new_model_15.pkl
16,texas - tamaulipas,lr_model_16.pkl,svr_model_16.pkl,rnn_model_16.h5,scaler_X_16.pkl,scaler_y_16.pkl,new_model_16.pkl
17,estado de mexico - estado de mexico,lr_model_17.pkl,svr_model_17.pkl,rnn_model_17.h5,scaler_X_17.pkl,scaler_y_17.pkl,new_model_17.pkl
18,north carolina - jalisco,lr_model_18.pkl,svr_model_18.pkl,rnn_model_18.h5,scaler_X_18.pkl,scaler_y_18.pkl,new_model_18.pkl
19,texas - nuevo leon,lr_model_19.pkl,svr_model_19.pkl,rnn_model_19.h5,scaler_X_19.pkl,scaler_y_19.pkl,new_model_19.pkl
20,nuevo leon - tamaulipas,lr_model_20.pkl,svr_model_20.pkl,rnn_model_20.h5,scaler_X_20.pkl,scaler_y_20.pkl,new_model_20.pkl
21,nuevo leon - missouri,lr_model_21.pkl,svr_model_21.pkl,rnn_model_21.h5,scaler_X_21.pkl,scaler_y_21.pkl,new_model_21.pkl
22,puebla - texas,lr_model_22.pkl,svr_model_22.pkl,rnn_model_22.h5,scaler_X_22.pkl,scaler_y_22.pkl,new_model_22.pkl
23,texas - coahuila,lr_model_23.pkl,svr_model_23.pkl,rnn_model_23.h5,scaler_X_23.pkl,scaler_y_23.pkl,new_model_23.pkl
24,hidalgo - tamaulipas,lr_model_24.pkl,svr_model_24.pkl,rnn_model_24.h5,scaler_X_24.pkl,scaler_y_24.pkl,new_model_24.pkl
25,texas - illinois,lr_model_25.pkl,svr_model_25.pkl,rnn_model_25.h5,scaler_X_25.pkl,scaler_y_25.pkl,new_model_25.pkl
26,chihuahua - texas,lr_model_26.pkl,svr_model_26.pkl,rnn_model_26.h5,scaler_X_26.pkl,scaler_y_26.pkl,new_model_26.pkl
27,nuevo leon - nuevo leon,lr_model_27.pkl,svr_model_27.pkl,rnn_model_27.h5,scaler_X_27.pkl,scaler_y_27.pkl,new_model_27.pkl
28,nuevo leon - manitoba,lr_model_28.pkl,svr_model_28.pkl,rnn_model_28.h5,scaler_X_28.pkl,scaler_y_28.pkl,new_model_28.pkl
29,estado de mexico - nuevo leon,lr_model_29.pkl,svr_model_29.pkl,rnn_model_29.h5,scaler_X_29.pkl,scaler_y_29.pkl,new_model_29.pkl
30,north carolina - texas,lr_model_30.pkl,svr_model_30.pkl,rnn_model_30.h5,scaler_X_30.pkl,scaler_y_30.pkl,new_model_30.pkl
31,queretaro - texas,lr_model_31.pkl,svr_model_31.pkl,rnn_model_31.h5,scaler_X_31.pkl,scaler_y_31.pkl,new_model_31.pkl
32,texas - ciudad de mexico,lr_model_32.pkl,svr_model_32.pkl,rnn_model_32.h5,scaler_X_32.pkl,scaler_y_32.pkl,new_model_32.pkl
33,arkansas - texas,lr_model_33.pkl,svr_model_33.pkl,rnn_model_33.h5,scaler_X_33.pkl,scaler_y_33.pkl,new_model_33.pkl
34,guanajuato - estado de mexico,lr_model_34.pkl,svr_model_34.pkl,rnn_model_34.h5,scaler_X_34.pkl,scaler_y_34.pkl,new_model_34.pkl
35,estado de mexico - florida,lr_model_35.pkl,svr_model_35.pkl,rnn_model_35.h5,scaler_X_35.pkl,scaler_y_35.pkl,new_model_35.pkl
36,illinois - texas,lr_model_36.pkl,svr_model_36.pkl,rnn_model_36.h5,scaler_X_36.pkl,scaler_y_36.pkl,new_model_36.pkl
37,nuevo leon - new york,lr_model_37.pkl,svr_model_37.pkl,rnn_model_37.h5,scaler_X_37.pkl,scaler_y_37.pkl,new_model_37.pkl
38,guanajuato - virginia,lr_model_38.pkl,svr_model_38.pkl,rnn_model_38.h5,scaler_X_38.pkl,scaler_y_38.pkl,new_model_38.pkl
